,Color,Efficiency,Efficiency Certification,Fanless,Manufacturer,Model,Modular,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part Number,Type,Wattage
249,Black,,80+ Bronze,,Silverstone,,False,,,1,,TX300,TFX12V,300 W
250,,,80+ Gold,,SeaSonic,,Full,,4,,,SS-650KM,ATX12V / EPS12V,650 W
251,,85%,80+ Bronze,,CoolMax,,Semi,"+5V@24A, +3.3V@24A, +12V@36A, -12V@0.5A, +5VSB@2.5A",1,1,,ZU-500B,ATX12V / EPS12V,500 W
252,Black,,80+ Gold,,EVGA,,Full,,8,,,120-GP-1000-X1,ATX,1000 W
253,,,80+ Titanium,,SeaSonic,,Full,,8,,,SSR-1000TR,ATX,1000 W
254,,Up to 88%,80+ Bronze,,Antec,,False,"+3.3V@20A, +5V@18A, +12V1@25A, +12V2@25A, -12V@0.3A, +5VSB@2.5A",2,,,EA-450 Green,ATX12V / EPS12V,450 W
255,,>70%,,,Thermaltake,,False,"+3.3V@22A, +5V@30A, +12V1@18A, +12V2@17A, -12V@0.3A, +5VSB@3A",,1,,W0070,ATX12V,430 W
256,,Up to 90% @ Typical Load,80+ Gold,,XFX,,False,"0.3A@-12V, 54A@+12V, 20A@+3.3V, 20A@+5V, 2.5A@+5VSB",4,,,P1-650G-TS3X,ATX12V / EPS12V,650 W
257,,,80+ Platinum,,be quiet!,,Semi,,6,1,,BN252 / BN652,ATX,750 W
258,,,80+ Gold,,Enermax,,False,"+3.3V@20A, +5V@20A, +12V@50A, -12V@0.3A, 5Vsb@2.5A",2,,,ERD600AWL-F,ATX,600 W
259,,,80+ Gold,,Thermaltake,,Full,,4,,,PS-TPG-0650DPCGUS-G,ATX12V / EPS12V,650 W
260,,< 92%,80+ Gold,,Corsair,,Full,,2,,,RM550 / CP-9020053-UK / CP-9020053-NA / CP-9020053-EU,ATX12V / EPS12V,550 W
261,,,80+ Gold,,BitFenix,Formula Gold 750,False,,4,,,BP-FM750ULAG-7R / BP-FM750ULAG-8R / BP-FM750ULAG-9R,ATX,750 W
262,White / Black,,80+ Gold,,Corsair,RM750x White (2018),Full,,4,,,CP-9020187-NA,ATX,750 W
263,,< 90%,80+ Gold,,XFX,,Full,"+12V@104A, +3.3V@25A, +5V@25A, +5VSB@3A, -12V@0.5A",8,,,P1-1250-BEFX,ATX12V / EPS12V,1250 W
264,,< 92%,80+ Platinum,,Corsair,,Full,"+3.3V@30A, +5V@30A, +12V@100.4A, -12V@0.8A, +5VSB@3.5A",8,,,AX1200i / CP-9020008-NA / CP-9020008-UK / CMPSU-AX1200i / CP-9020008-AU,ATX12V / EPS12V,1200 W
265,Black,,80+ Platinum,,EVGA,,Semi,,6,,,210-PQ-0750-X1,ATX,750 W
