,CPU Socket,Chipset,Color,CrossFire Support,Form Factor,Half Mini-PCI-Express,Manufacturer,Maximum Supported Memory,Memory Slots,Memory Type,Micro SATA 6 Gb/s,Mini-PCI-Express,Mini-PCI-Express/mSATA,Model,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,PATA 100,Part Number,RAID Support,SATA 3 Gb/s,SATA 6 Gb/s,SATA Express,SLI Support,U.2,U.2 (SFF-8639),eSATA 3Gb/s,eSATA 6Gb/s
353,LGA1151,Intel Z370,Black / Silver,True,ATX,,EVGA,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3466 / 3600 / 3733 / 3866 / 4000 / 4133,,,,Z370 Classified K,2 x 1000 Mbit/s,True,Depends on CPU,,134-KS-E379-KR,True,,6,,True,,,,
354,LGA1151,Intel B360,Brown,True,ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,B360-A PRO,False,,5,,False,,,,
355,AM4,AMD B450,Red / Black,True,ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 2666 / 2800 / 2933 / 3000 / 3200 / 3466,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,B450 Gaming Plus,True,,6,,False,,,,
356,AM4,AMD X470,Black / Orange,True,ATX,,Gigabyte,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2933 / 3000 / 3200 / 3333 / 3400 / 3600,,,,,1 x 1000 Mbit/s,True,False,,X470 AORUS GAMING 7 WIFI,True,,6,,True,,,,
357,LGA1151,Intel Z370,Black / Gray,True,ATX,,Gigabyte,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866 / 4000,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,Z370 HD3P (rev. 1.0) / Z370 HD3P,True,,6,,False,,,,
358,LGA1151,Intel H370,Black,True,ATX,,ASRock,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,Fatal1ty H370 Performance,1 x 1000 Mbit/s,True,Depends on CPU,,H370 Performance,True,,6,,False,,,,
359,LGA1151,Intel B360,Black,False,Micro ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,"B360M PRO-VDH, (or)",False,,6,,False,,,,
360,LGA1151,Intel H270,Black / White,True,ATX,,ASRock,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,H270 Pro4,True,,6,,False,,,,
361,LGA1151,Intel Z390,Black / Red,True,ATX,,Asus,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000 / 4133 / 4266,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,ROG STRIX Z390-H GAMING,True,,6,,True,,,,
362,AM3+,AMD 760G,Black / Blue,False,Micro ATX,,Asus,32 GB,4 x 240-pin DIMM,DDR3-1066 / 1333 / 1600 / 1800 / 1866 / 2000,,,,,1 x 1000 Mbit/s,False,True,,M5A78L-M/USB3,True,6,,,False,,,,
363,LGA1151,Intel Q170,Green,False,Mini ITX,,Supermicro,32 GB,2 x 260-pin SODIMM,DDR4-1866 / 2133 / 2400,1,,,,2 x 1000 Mbit/s,True,Depends on CPU,,MBD-X11SSV-Q-O / X11SSV-Q-O,True,,5,,False,,,,
364,LGA1151,Intel B360,Black,False,Micro ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,"B360M MORTAR, (or)",False,,4,,False,,,,
365,AM4,AMD B450,Brown / Black,True,ATX,,MSI,64 GB,4 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 2666 / 2800 / 2933 / 3000 / 3200 / 3466,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,B450-A PRO,True,,6,,False,,,,
366,LGA1151,Intel Z390,Black / Silver,True,ATX,,ASRock,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 2933 / 3200 / 3600 / 3733 / 3800 / 3866 / 4000 / 4133 / 4200,,,,,"1 x 10 Gbit/s, 2 x 1000 Mbit/s",True,Depends on CPU,,Z390 Taichi Ultimate,True,,8,,True,,,,
367,AM4,AMD X370,Black / White,True,ATX,,Asus,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2933 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,PRIME X370-PRO / 90MB0TD0-M0EAY0,True,,8,,True,,,,
368,AM4,AMD B350,Black / Red,False,ATX,,ASRock,64 GB,4 x 288-pin DIMM,DDR4-1866 / 2133 / 2400 / 2666 / 2933 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,Fatal1ty AB350 Gaming K4 / AB350 Gaming K4,True,,6,,False,,,,
369,LGA1151,Intel Z370,Black / Silver,True,ATX,,Asus,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 3866 / 4000,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,Prime Z370-A / 90MB0V60-M0EAY0,True,,6,,True,,,,
370,LGA1151,Intel Z270,Black / Gold,True,ATX,,Gigabyte,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,GA-Z270-HD3,True,,4,1,False,,,,
371,AM4,AMD A320,Black / White,False,Micro ATX,,Asus,32 GB,2 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2933 / 3200,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,PRIME A320M-K / 90MB0TV0-M0EAY0,True,,4,,False,,,,
372,LGA1150,Intel B85,Black / Yellow,False,ATX,,Biostar,16 GB,2 x 240-pin DIMM,DDR3-1066 / 1333 / 1600,,,,,1 x 1000 Mbit/s,True,True,,TB85,False,,4,,False,,,,
373,LGA1151,Intel B360,Black,True,Micro ATX,,Gigabyte,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,B360M D3H GSM,False,,6,,False,,,,
