,Boost Clock,Chipset,Color,Core Clock,CrossFire Support,DVI-D Dual-Link,DVI-D Single-Link,DVI-I Dual-Link,DisplayPort,Fan,HDMI,Interface,Length,Manufacturer,Memory Size,Memory Type,Mini-Display Port,Mini-HDMI,Model,Part Number,S-Video,SLI Support,Supports Freesync,Supports G-Sync,TDP,VGA,VHDCI,VirtualLink
99,1.815 GHz,GeForce RTX 2080 Ti,Black / Silver,1.545 GHz,False,,,,3,True,1,PCI-Express x16,"324 mm / 12.756""",Zotac,11 GB,GDDR6,,,,ZT-T20810B-10P,,True,,True,250 W,,,1
100,1.71 GHz,GeForce RTX 2070,Black / White,1.41 GHz,False,,,,3,True,1,PCI-Express x16,"295 mm / 11.614""",MSI,8 GB,GDDR6,,,,RTX 2070 ARMOR 8G OCV1,,False,,True,185 W,,,1
101,1.62 GHz,GeForce RTX 2070,Black / Silver,1.41 GHz,False,,,,3,True,1,PCI-Express x16,"309 mm / 12.165""",MSI,8 GB,GDDR6,,,,GeForce RTX 2070 ARMOR 8G / RTX 2070 ARMOR 8G,,False,,True,185 W,,,1
102,,Radeon R5 230,Black / Red,650 MHz,False,1,,,,False,1,PCI-Express x16,"168 mm / 6.614""",Asus,2 GB,DDR3,,,,R5230-SL-2GD3-L,,False,,,19 W,1,,
103,1.83 GHz,GeForce RTX 2060,Black,1.365 GHz,False,1,,,2,True,1,PCI-Express x16,"267.97 mm / 10.55""",EVGA,6 GB,GDDR6,,,,06G-P4-2167-KR,,False,,True,160 W,,,
104,1.784 GHz,GeForce GTX 1070,White / Black,1.594 GHz,False,1,,,3,True,1,PCI-Express x16,"267 mm / 10.512""",EVGA,8 GB,GDDR5,,,,08G-P4-6573-KR,,True,,True,170 W,,,
105,1.695 GHz,GeForce GTX 1650,Black,1.485 GHz,False,,,,2,True,2,PCI-Express x16,"242 mm / 9.528""",Asus,4 GB,GDDR5,,,,ROG-STRIX-GTX1650-4G-GAMING,,False,,True,75 W,,,
106,1.77 GHz,GeForce RTX 2070,Black / Silver,1.62 GHz,False,,,,3,True,3,PCI-Express x16,"290 mm / 11.417""",Gigabyte,8 GB,GDDR6,,,,GV-N2070AORUS-8GC,,False,,True,185 W,,,
107,1.815 GHz,GeForce RTX 2080,Black,1.515 GHz,False,,,,3,True,1,PCI-Express x16,"292.1 mm / 11.5""",PNY,8 GB,GDDR6,,,,VCG20808DFPPB-O-B,,True,,True,215 W,,,1
108,1.809 GHz,GeForce GTX 1060 3GB,White,1.594 GHz,False,1,,,2,True,2,PCI-Express x16,"242 mm / 9.528""",Asus,3 GB,GDDR5,,,,DUAL-GTX1060-O3G / 90YV09X3-M0NA00,,False,,True,120 W,,,
109,1.68 GHz,GeForce RTX 2060,Silver / Black,1.365 GHz,False,,,,3,True,1,PCI-Express x16,"209.6 mm / 8.252""",Zotac,6 GB,GDDR6,,,,ZT-T20600F-10M,,False,,True,160 W,,,
