,Cache,Capacity,Color,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Manufacturer,Model,NAND Flash Type,Part Number,Power Loss Protection,Price/GB,RPM,SSD Controller
368,,1 TB,,"2.5""",10.00,,SATA 6 Gb/s,SanDisk,,,SDSSDA-1T00-G26,,$0.100,,
369,32 MB,500 GB,,"3.5""",12.50,,SATA 6 Gb/s,Western Digital,,,WD5000AZLX,,$0.080,7200,
370,8 MB,2 TB,,"2.5""",12.68,,SATA 6 Gb/s,Western Digital,,,WD20NPVX,,$0.079,5900,
371,,240 GB,,"2.5""",2.40,,SATA 6 Gb/s,SanDisk,,,SDSSDHII-240G-G25,,$0.417,,
372,64 MB,2 TB,,"3.5""",20.33,,SATA 6 Gb/s,Western Digital,,,WD2002FAEX,,$0.049,7200,
373,,480 GB,,M.2-2280,1.20,,M.2 (B+M),Crucial,,MLC,CT480M500SSD4,True,$0.833,,Marvell 9174
374,32 MB,1 TB,,"3.5""",27.03,,SATA 3 Gb/s,Western Digital,,,WD1002FBYS,,$0.037,7200,
375,,1 TB,,M.2-2280,5.56,,M.2 (M),Sabrent,,,SB-ROCKET-1TB,,$0.180,,
376,,500 GB,White,"2.5""",7.35,,SATA 6 Gb/s,Team,,,T253TR500G3C413,,$0.136,,
377,64 MB,2 TB,,"3.5""",20.02,,SATA 6 Gb/s,Western Digital,,,WD20EZRX,,$0.050,5400,
378,64 MB,2 TB,,"3.5""",36.37,,SATA 6 Gb/s,Hitachi,,,HUA723020ALA641,,$0.027,7200,
379,128 MB,4 TB,,"3.5""",17.27,,SATA 6 Gb/s,Seagate,,,ST4000NM0033,,$0.058,7200,
380,,120 GB,,"2.5""",0.66,,SATA 6 Gb/s,Kingston,,MLC (synchronous),SH100S3/120G,,$1.516,,Sandforce SF-2281
381,,960 GB,Black,M.2-2280,5.89,,M.2 (B+M),Kingston,,,SA1000M8/960G,,$0.170,,
382,,2 TB,Green / Black,M.2-2280,9.76,,M.2 (M),Intel,,,SSDPEKNW020T8X1,,$0.102,,
383,1 GB,1 TB,Black,M.2-2280,2.89,,M.2 (M),Samsung,,,MZ-V7P1T0BW,,$0.346,,
384,,500 GB,,"2.5""",3.34,,SATA 6 Gb/s,Samsung,,,MZ-75E500B/AM / MZ-75E500B/EU / MZ-75E500BW/EU / MZ-75E500BW / MZ-75E500B,,$0.300,,
385,256 MB,12 TB,,"3.5""",23.28,,SATA 6 Gb/s,Seagate,,,ST12000DM001,,$0.043,7200,
386,8 MB,160 GB,,"3.5""",6.40,,SATA 3 Gb/s,Samsung,,,HD161GJ,,$0.156,7200,
387,,1 TB,,"3.5""",13.16,,SATA 6 Gb/s,Western Digital,,,WDBSLA0010HNC-NRSN,,$0.076,7200,
388,16 MB,320 GB,,"3.5""",12.81,,SATA 3 Gb/s,Seagate,,,ST3320418AS,,$0.078,7200,
389,8 MB,250 GB,,"3.5""",12.22,,SATA 3 Gb/s,Seagate,,,ST3250318AS,,$0.082,7200,
390,,120 GB,,M.2-2280,1.91,,M.2 (M),Corsair,,,CSSD-F120GBMP500,,$0.523,,
391,512 MB,250 GB,,M.2-2280,1.49,,M.2 (M),Samsung,,3D V-NAND TLC,MZ-V6E250 / MZ-V6E250BW,,$0.673,,
392,64 MB,3 TB,,"3.5""",30.03,,SATA 6 Gb/s,Western Digital,,,WD30EFRX,,$0.033,5400,
393,,250 GB,,"2.5""",1.92,,SATA 6 Gb/s,Samsung,750 EVO,,MZ-750250BW,,$0.520,,
394,64 MB,2 TB,,"3.5""",18.20,,SATA 6 Gb/s,Western Digital,,,WD2003FZEX,,$0.055,7200,
395,,960 GB,,"2.5""",8.50,,SATA 6 Gb/s,Crucial,,,CT960BX500SSD1,,$0.118,,
396,,240 GB,,M.2-2280,4.81,,M.2 (B+M),Western Digital,,,WDS240G1G0B,,$0.208,,
