,Bearing Type,Color,Fan RPM,Height,Liquid Cooled,Manufacturer,Model,Noise Level,Part Number,Radiator Size,Supported Sockets
206,Ball,,1000 - 3800 RPM,"110 mm / 4.331""",False,Dynatron,,16 dB - 43.4 dB,R27,,"LGA2011, LGA2011-3, LGA2066"
207,,Black,,"160.5 mm / 6.319""",False,Cooler Master,Wraith Ripper,0 dB - 38 dB,MAM-D7PN-DWRPS-T1,,TR4
208,,,500 - 1600 RPM,"154 mm / 6.063""",False,Phanteks,,25.3 dB,PH-TC14S_BK,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
209,,,750 - 1500 RPM,"154 mm / 6.063""",False,Gelid Solutions,Rev. 3 Tranquillo,12 dB - 26.5 dB,CC-TranQ-03-A,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
210,,,1200 - 3400 RPM,"23 mm / 0.906""",False,Silverstone,,18 dB - 26 dB,NT07-115X,,"LGA1150, LGA1151, LGA1155, LGA1156"
211,Fluid Dynamic,,800 - 1400 RPM,"44 mm / 1.732""",False,RAIJINTEK,ZELOS,20 dB,0R100003,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156"
212,Rifle,,800 - 1300 RPM,"160 mm / 6.299""",False,Cooler Master,Hyper 612 Ver.2,11 dB - 20 dB,RR-H6V2-13PK-R1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
213,,,1800 RPM,"143 mm / 5.63""",False,Evercool,,23 dB,HPFI-10025,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775"
214,Fluid Dynamic,,600 - 2000 RPM,"70 mm / 2.756""",False,ARCTIC,Alpine 11 Plus,14 dB,UCACO-AP11301-BUA01,,"LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
215,,,150 - 1500 RPM,"160 mm / 6.299""",False,Titan,,28.6 dB,TTC-NC95TZ(RB),,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
216,,,300 - 1400 RPM,"159 mm / 6.26""",False,Thermaltake,Riing Silent 12 Red,13 dB - 18 dB,CL-P022-AL12RE-A,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
217,,,500 - 1800 RPM,,True,Deepcool,,17.6 dB - 31.3 dB,CAPTAIN 120 EX,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
218,,Black / Silver,200 - 1800 RPM,"157 mm / 6.181""",False,ARCTIC,Freezer 34,,ACFRE00052A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
