,Cores,Data Width,Includes CPU Cooler,Integrated Graphics,L1 Cache,L2 Cache,L3 Cache,Lithography,Manufacturer,Maximum Supported Memory,Model,Operating Frequency,Part Number,Simultaneous Multithreading,Simultaneous Multithreading Detail,Socket,Thermal Design Power,Turbo Frequency
391,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 15 MB,22 nm,Intel,,Xeon E5-2603 V3,1.6 GHz,CM8064401844200,False,,LGA2011-3,85 W,
392,12,64-bit,False,False,"12 x 32 kB Instruction, 12 x 32 kB Data",12 x 1 MB,1 x 19.25 MB,14 nm,Intel,128 GB,Intel Core i9-9920X Skylake X 12-Core 3.5 GHz (4.4 GHz Turbo) LGA 2066 165W BX80673I99920X Desktop Processor,3.5 GHz,BX80673I99920X,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
393,4,64-bit,True,False,"2 x 96 kB Instruction, 4 x 32 kB Data",1 x 1 MB,None,28 nm,AMD,,Athlon X4 845,3.5 GHz,AD845XACKASBX,False,,FM2+,65 W,3.8 GHz
394,22,64-bit,False,False,"22 x 32 kB Instruction, 22 x 32 kB Data",22 x 256 kB,1 x 55 MB,14 nm,Intel,1.5 TB,Xeon E5-2699 V4,2.2 GHz,CM8066002022506,True,Hyper-Threading,LGA2011-3,145 W,3.6 GHz
395,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",2 x 2 MB,None,45 nm,Intel,,Core 2 Quad Q8400,2.66 GHz,BX80580Q8400,False,,LGA775,95 W,
396,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,22 nm,Intel,,Xeon E5-2630 V3,2.4 GHz,BX80644E52630V3,True,Hyper-Threading,LGA2011-3,85 W,3.2 GHz
397,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,14 nm,Intel,1.5 TB,Xeon E5-2620 V4,2.1 GHz,BX80660E52620V4,True,Hyper-Threading,LGA2011-3,85 W,3 GHz
398,4,64-bit,True,False,"4 x 64 kB Instruction, 4 x 32 kB Data",4 x 512 kB,2 x 8 MB,14 nm,AMD,,,3.5 GHz,YD150XBBAEBOX,True,,AM4,65 W,3.7 GHz
399,4,64-bit,False,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,14 nm,Intel,64 GB,,3 GHz,CM8067702867050,False,,LGA1151,65 W,3.5 GHz
400,4,64-bit,False,Intel HD Graphics 630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,4.2 GHz,BX80677I77700K,True,Hyper-Threading,LGA1151,91 W,4.5 GHz
